RowNumber,CustomerId,Surname,CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,BalanceSalary,TenureAge,ScoreAge,tenure_age,tenure_salary,score_age,score_salary,newAge,newCreditScore,AgeScore,BalanceScore,SalaryScore,newEstimatedSalary,score_balance,age_balance,balance_salary,age_hascrcard,product_utilization_rate_by_year,product_utilization_rate_by_salary,countries_monthly_average_salaries,Germany,Spain,Female,Male
1,15634602,Hargrave,619,42,2,0,1,1,1,101348.88,1,0,0.047619048,14.73809524,0.08,1.97E-05,24.76,0.006107616,40,4,6,1,6,8445.74,0,0,0,0.023809524,0.5,9.87E-06,2.285102814,FALSE,FALSE,TRUE,FALSE
2,15647311,Hill,608,41,1,83807.86,1,0,1,112542.58,0,0.744676904,0.024390244,14.82926829,0.041666667,8.89E-06,25.33333333,0.0054024,40,4,6,5,6,9378.548333,137.841875,2044.094146,0.744676904,0,1,8.89E-06,4.155316054,FALSE,TRUE,TRUE,FALSE
3,15619304,Onio,502,42,8,159660.8,3,1,0,113931.57,1,1.401374527,0.19047619,11.95238095,0.32,7.02E-05,20.08,0.004406154,34,1,6,10,6,9494.2975,318.0494024,3801.447619,1.401374527,0.023809524,0.375,2.63E-05,2.568803436,FALSE,FALSE,TRUE,FALSE
4,15701354,Boni,699,39,1,0,2,0,0,93826.63,0,0,0.025641026,17.92307692,0.045454545,1.07E-05,31.77272727,0.007449911,38,7,5,1,5,7818.885833,0,0,0,0,2,2.13E-05,2.115499414,FALSE,FALSE,TRUE,FALSE
5,15737888,Mitchell,850,43,2,125510.82,1,1,1,79084.1,0,1.587055046,0.046511628,19.76744186,0.076923077,2.53E-05,32.69230769,0.010748052,41,10,6,8,4,6590.341667,147.6597882,2918.856279,1.587055046,0.023255814,0.5,1.26E-05,2.919956432,FALSE,TRUE,TRUE,FALSE
6,15574012,Chu,645,44,8,113755.78,2,1,0,149756.71,1,0.759603894,0.181818182,14.65909091,0.296296296,5.34E-05,23.88888889,0.004306986,36,5,7,7,8,12479.72583,176.3655504,2585.358636,0.759603894,0.022727273,0.25,1.34E-05,5.529342416,FALSE,TRUE,FALSE,TRUE
7,15592531,Bartlett,822,50,7,0,2,1,1,10062.8,0,0,0.14,16.44,0.212121212,0.000695631,24.90909091,0.081687006,43,10,8,1,1,838.5666667,0,0,0,0.02,0.285714286,0.000198752,0.226884921,FALSE,FALSE,FALSE,TRUE
9,15792365,He,501,44,4,142051.07,2,0,1,74940.5,0,1.895518044,0.090909091,11.38636364,0.148148148,5.34E-05,18.55555556,0.006685304,40,1,7,9,4,6245.041667,283.5350699,3228.433409,1.895518044,0,0.5,2.67E-05,1.689675776,FALSE,FALSE,FALSE,TRUE
10,15592389,H?,684,27,2,134603.88,1,1,1,71725.73,0,1.876647055,0.074074074,25.33333333,0.2,2.79E-05,68.4,0.009536327,25,7,1,9,4,5977.144167,196.7892982,4985.328889,1.876647055,0.037037037,0.5,1.39E-05,1.617192686,FALSE,FALSE,FALSE,TRUE
11,15767821,Bearce,528,31,6,102016.72,2,0,0,80181.12,0,1.272328448,0.193548387,17.03225806,0.428571429,7.48E-05,37.71428571,0.006585091,25,2,2,6,4,6681.76,193.2134848,3290.861935,1.272328448,0,0.333333333,2.49E-05,1.807835498,FALSE,FALSE,FALSE,TRUE
12,15737173,Andrews,497,24,3,0,2,1,0,76390.01,0,0,0.125,20.70833333,0.428571429,3.93E-05,71,0.006506086,21,1,1,1,4,6365.834167,0,0,0,0.041666667,0.666666667,2.62E-05,2.820484788,FALSE,TRUE,FALSE,TRUE
13,15632264,Kay,476,34,10,0,2,1,0,26260.98,0,0,0.294117647,14,0.588235294,0.000380793,28,0.018125752,24,1,3,1,2,2188.415,0,0,0,0.029411765,0.2,7.62E-05,0.592103626,FALSE,FALSE,TRUE,FALSE
