CustomerId,Surname,CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,BalanceSalary,TenureAge,ScoreAge,tenure_age,tenure_salary,score_age,score_salary,newAge,newCreditScore,AgeScore,BalanceScore,SalaryScore,newEstimatedSalary,score_balance,age_balance,balance_salary,age_hascrcard,product_utilization_rate_by_year,product_utilization_rate_by_salary,countries_monthly_average_salaries,Germany,Spain,Female,Male
15658360,Gregory,762,35,9,122929.42,2,0,0,149822.04,0.820502911,0.257142857,21.77142857,0.5,6.01e-05,42.33333333,0.005086034,26,9,4,8,8,12485.17,161.3246982,3512.269143,0.820502911,0.0,0.222222222,1.33e-05,5.531754541,False,True,False,True
15736327,Manna,567,46,1,68238.51,2,1,1,109572.58,0.622769948,0.02173913,12.32608696,0.034482759,9.13e-06,19.55172414,0.005174652,45,3,7,4,6,9131.048333,120.3501058,1483.44587,0.622769948,0.02173913,2.0,1.83e-05,1.926381505,True,False,True,False
15737194,Tu,635,33,5,0.0,2,1,0,122949.71,0.0,0.151515152,19.24242424,0.3125,4.07e-05,39.6875,0.005164713,28,5,3,4,7,10245.80917,0.0,0.0,0.0,0.03030303,0.4,1.63e-05,2.772134515,False,False,True,False
15688951,Stoneman,789,43,8,119654.44,2,0,1,148412.24,0.806230268,0.186046512,18.34883721,0.307692308,5.39e-05,30.34615385,0.005316273,35,10,6,7,8,12367.68667,151.6532826,2782.661395,0.806230268,0.0,0.25,1.35e-05,2.609216596,True,False,False,True
15620000,Chambers,760,34,6,121303.77,2,1,1,59325.21,2.044725505,0.176470588,22.35294118,0.352941176,0.000101137,44.70588235,0.012810743,28,9,3,7,3,4943.7675,159.6102237,3567.757941,2.044725505,0.029411765,0.333333333,3.37e-05,1.042988924,True,False,False,True
15654211,Milani,559,27,1,0.0,1,0,1,1050.33,0.0,0.037037037,20.7037037,0.1,0.000952082,55.9,0.532213685,26,2,1,2,1,87.5275,0.0,0.0,0.0,0.0,1.0,0.000952082,0.038780461,False,True,True,False
15737741,McKay,607,33,2,108431.87,2,0,1,109291.39,0.99213552,0.060606061,18.39393939,0.125,1.83e-05,37.9375,0.00555396,31,4,3,6,6,9107.615833,178.6357002,3285.814242,0.99213552,0.0,1.0,1.83e-05,4.03527507,False,True,True,False
15628963,Frolova,601,43,3,141859.12,2,1,1,111249.62,1.275142513,0.069767442,13.97674419,0.115384615,2.7e-05,23.11538462,0.005402266,40,4,6,9,6,9270.801667,236.0384692,3299.049302,1.275142513,0.023255814,0.666666667,1.8e-05,1.955865331,True,False,False,True
15659100,Lane,605,33,9,128152.82,1,0,0,147822.81,0.866935353,0.272727273,18.33333333,0.5625,6.09e-05,37.8125,0.004092738,24,4,3,8,8,12318.5675,211.822843,3883.418788,0.866935353,0.0,0.111111111,6.76e-06,3.332945752,False,False,False,True
15795895,Yermakova,678,36,1,117864.85,2,1,0,27619.06,4.267518518,0.027777778,18.83333333,0.052631579,3.62e-05,35.68421053,0.024548265,35,6,4,7,2,2301.588333,173.8419617,3274.023611,4.267518518,0.027777778,2.0,7.24e-05,0.485567159,True,False,False,True
